ImportedFileName,TransactionID,PostingDate,BranchID,DepartmentID,AccountCode,VendorID,DocumentNumber,Description,Amount,TransactionType,SourceFile,PostingMonthMatchFlag,SourceFileMatchFlag,AmountValidationFlag,TransactionTypeValidationFlag,DescriptionFormatFlag,RepairExceptionFlag,BranchValidationFlag,DepartmentValidationFlag,AccountValidationFlag,MonthKey,MonthKeyValidationFlag,VendorStatus_Master,VendorValidationFlag,DuplicateTransactionIDFlag,RepeatedVendorDocumentFlag,ValidationStatus,DepartmentID_Processed,AccountCode_Processed,Description_Processed,ResolutionAction,ReportingTreatment
actual_transactions_2025_01.xlsx,TXN-202501-00314,1/1/2025,BR03,D02,6700,V019,INV-V019-202501-0314,IT support services,630,Expense,actual_transactions_2025_01.xlsx,Match,Match,Valid,Valid,Standard,Normal,Valid,Valid,Valid,2025-01,Valid,Active,Valid,Unique,Unique / Not Applicable,Pass,D02,6700,IT support services,No action required,Include - Valid
actual_transactions_2025_01.xlsx,TXN-202501-00125,1/1/2025,BR02,D01,4000,,SI-202501-BR02-0125,Product sales invoice,11930,Revenue,actual_transactions_2025_01.xlsx,Match,Match,Valid,Valid,Standard,Normal,Valid,Valid,Valid,2025-01,Valid,,No Vendor / Not Applicable,Unique,Unique / Not Applicable,Pass,D01,4000,Product sales invoice,No action required,Include - Valid
actual_transactions_2025_01.xlsx,TXN-202501-00142,1/1/2025,BR02,D01,4100,,SV-202501-BR02-0142,Maintenance service invoice,7930,Revenue,actual_transactions_2025_01.xlsx,Match,Match,Valid,Valid,Standard,Normal,Valid,Valid,Valid,2025-01,Valid,,No Vendor / Not Applicable,Unique,Unique / Not Applicable,Pass,D01,4100,Maintenance service invoice,No action required,Include - Valid
actual_transactions_2025_01.xlsx,TXN-202501-00151,1/1/2025,BR02,D01,4200,,OI-202501-BR02-0151,Delivery fee income,1040,Revenue,actual_transactions_2025_01.xlsx,Match,Match,Valid,Valid,Standard,Normal,Valid,Valid,Valid,2025-01,Valid,,No Vendor / Not Applicable,Unique,Unique / Not Applicable,Pass,D01,4200,Delivery fee income,No action required,Include - Valid
actual_transactions_2025_01.xlsx,TXN-202501-00365,1/1/2025,BR04,D01,4000,,SI-202501-BR04-0365,Product sales invoice,13920,Revenue,actual_transactions_2025_01.xlsx,Match,Match,Valid,Valid,Standard,Normal,Valid,Valid,Valid,2025-01,Valid,,No Vendor / Not Applicable,Unique,Unique / Not Applicable,Pass,D01,4000,Product sales invoice,No action required,Include - Valid
actual_transactions_2025_01.xlsx,TXN-202501-00463,1/1/2025,BR04,D03,7500,,INV-GEN-202501-0463,Minor administrative expense,240,Expense,actual_transactions_2025_01.xlsx,Match,Match,Valid,Valid,Standard,Normal,Valid,Valid,Valid,2025-01,Valid,,No Vendor / Not Applicable,Unique,Unique / Not Applicable,Pass,D03,7500,Minor administrative expense,No action required,Include - Valid
actual_transactions_2025_01.xlsx,TXN-202501-00130,2/1/2025,BR02,D01,4000,,SI-202501-BR02-0130,Equipment sales,15060,Revenue,actual_transactions_2025_01.xlsx,Match,Match,Valid,Valid,Standard,Normal,Valid,Valid,Valid,2025-01,Valid,,No Vendor / Not Applicable,Unique,Unique / Not Applicable,Pass,D01,4000,Equipment sales,No action required,Include - Valid
actual_transactions_2025_01.xlsx,TXN-202501-00229,2/1/2025,BR02,D03,7500,,INV-GEN-202501-0229,Minor administrative expense,140,Expense,actual_transactions_2025_01.xlsx,Match,Match,Valid,Valid,Standard,Normal,Valid,Valid,Valid,2025-01,Valid,,No Vendor / Not Applicable,Unique,Unique / Not Applicable,Pass,D03,7500,Minor administrative expense,No action required,Include - Valid
actual_transactions_2025_01.xlsx,TXN-202501-00182,1/1/2025,BR02,D02,5100,V006,INV-V006-202501-0182,Installation labour cost,6600,Purchase,actual_transactions_2025_01.xlsx,Match,Match,Valid,Valid,Standard,Normal,Valid,Valid,Valid,2025-01,Valid,Active,Valid,Unique,Unique / Not Applicable,Pass,D02,5100,Installation labour cost,No action required,Include - Valid
actual_transactions_2025_01.xlsx,TXN-202501-00084,2/1/2025,BR01,D03,6200,V007,INV-V007-202501-0084,Monthly premises rent,15310,Expense,actual_transactions_2025_01.xlsx,Match,Match,Valid,Valid,Standard,Normal,Valid,Valid,Valid,2025-01,Valid,Active,Valid,Unique,Unique / Not Applicable,Pass,D03,6200,Monthly premises rent,No action required,Include - Valid
actual_transactions_2025_01.xlsx,TXN-202501-00206,1/1/2025,BR02,D03,6200,V008,INV-V008-202501-0206,Monthly premises rent,8810,Expense,actual_transactions_2025_01.xlsx,Match,Match,Valid,Valid,Standard,Normal,Valid,Valid,Valid,2025-01,Valid,Active,Valid,Unique,Unique / Not Applicable,Pass,D03,6200,Monthly premises rent,No action required,Include - Valid
actual_transactions_2025_01.xlsx,TXN-202501-00441,1/1/2025,BR04,D03,6200,V009,INV-V009-202501-0441,Monthly premises rent,11950,Expense,actual_transactions_2025_01.xlsx,Match,Match,Valid,Valid,Standard,Normal,Valid,Valid,Valid,2025-01,Valid,Active,Valid,Unique,Unique / Not Applicable,Pass,D03,6200,Monthly premises rent,No action required,Include - Valid
actual_transactions_2025_01.xlsx,TXN-202501-00240,1/1/2025,BR02,D04,7200,V026,INV-V026-202501-0240,Business travel expense,170,Expense,actual_transactions_2025_01.xlsx,Match,Match,Valid,Valid,Standard,Normal,Valid,Valid,Valid,2025-01,Valid,Active,Valid,Unique,Unique / Not Applicable,Pass,D04,7200,Business travel expense,No action required,Include - Valid
actual_transactions_2025_01.xlsx,TXN-202501-00057,2/1/2025,BR01,D01,7200,V026,INV-V026-202501-0057,Business travel expense,630,Expense,actual_transactions_2025_01.xlsx,Match,Match,Valid,Valid,Standard,Normal,Valid,Valid,Valid,2025-01,Valid,Active,Valid,Unique,Unique / Not Applicable,Pass,D01,7200,Business travel expense,No action required,Include - Valid
actual_transactions_2025_01.xlsx,TXN-202501-00286,1/1/2025,BR03,D01,6400,V013,INV-V013-202501-0286,Advertising services,1260,Expense,actual_transactions_2025_01.xlsx,Match,Match,Valid,Valid,Standard,Normal,Valid,Valid,Valid,2025-01,Valid,Active,Valid,Unique,Unique / Not Applicable,Pass,D01,6400,Advertising services,No action required,Include - Valid
actual_transactions_2025_01.xlsx,TXN-202501-00413,1/1/2025,BR04,D01,6800,V021,INV-V021-202501-0413,Office supplies purchase,260,Expense,actual_transactions_2025_01.xlsx,Match,Match,Valid,Valid,Standard,Normal,Valid,Valid,Valid,2025-01,Valid,Active,Valid,Unique,Unique / Not Applicable,Pass,D01,6800,Office supplies purchase,No action required,Include - Valid
actual_transactions_2025_01.xlsx,TXN-202501-00073,2/1/2025,BR01,D02,6600,V017,INV-V017-202501-0073,Routine maintenance,1460,Expense,actual_transactions_2025_01.xlsx,Match,Match,Valid,Valid,Standard,Normal,Valid,Valid,Valid,2025-01,Valid,Active,Valid,Unique,Unique / Not Applicable,Pass,D02,6600,Routine maintenance,No action required,Include - Valid
actual_transactions_2025_01.xlsx,TXN-202501-00077,2/1/2025,BR01,D02,6800,V020,INV-V020-202501-0077,Printing and stationery,330,Expense,actual_transactions_2025_01.xlsx,Match,Match,Valid,Valid,Standard,Normal,Valid,Valid,Valid,2025-01,Valid,Active,Valid,Unique,Unique / Not Applicable,Pass,D02,6800,Printing and stationery,No action required,Include - Valid
actual_transactions_2025_01.xlsx,TXN-202501-00238,2/1/2025,BR02,D04,7100,V025,INV-V025-202501-0238,Professional development course,690,Expense,actual_transactions_2025_01.xlsx,Match,Match,Valid,Valid,Standard,Normal,Valid,Valid,Valid,2025-01,Valid,Active,Valid,Unique,Unique / Not Applicable,Pass,D04,7100,Professional development course,No action required,Include - Valid
actual_transactions_2025_01.xlsx,TXN-202501-00282,2/1/2025,BR03,D01,5000,V004,INV-V004-202501-0282,Equipment procurement,13990,Purchase,actual_transactions_2025_01.xlsx,Match,Match,Valid,Valid,Standard,Normal,Valid,Valid,Valid,2025-01,Valid,Active,Valid,Unique,Unique / Not Applicable,Pass,D01,5000,Equipment procurement,No action required,Include - Valid
actual_transactions_2025_01.xlsx,TXN-202501-00325,2/1/2025,BR03,D03,6200,V008,INV-V008-202501-0325,Monthly premises rent,10820,Expense,actual_transactions_2025_01.xlsx,Match,Match,Valid,Valid,Standard,Normal,Valid,Valid,Valid,2025-01,Valid,Active,Valid,Unique,Unique / Not Applicable,Pass,D03,6200,Monthly premises rent,No action required,Include - Valid
actual_transactions_2025_01.xlsx,TXN-202501-00366,2/1/2025,BR04,D01,4000,,SI-202501-BR04-0366,Equipment sales,15980,Revenue,actual_transactions_2025_01.xlsx,Match,Match,Valid,Valid,Standard,Normal,Valid,Valid,Valid,2025-01,Valid,,No Vendor / Not Applicable,Unique,Unique / Not Applicable,Pass,D01,4000,Equipment sales,No action required,Include - Valid
actual_transactions_2025_01.xlsx,TXN-202501-00373,2/1/2025,BR04,D01,4000,,SI-202501-BR04-0373,Business hardware sale,25300,Revenue,actual_transactions_2025_01.xlsx,Match,Match,Valid,Valid,Standard,Normal,Valid,Valid,Valid,2025-01,Valid,,No Vendor / Not Applicable,Unique,Unique / Not Applicable,Pass,D01,4000,Business hardware sale,No action required,Include - Valid
actual_transactions_2025_01.xlsx,TXN-202501-00382,2/1/2025,BR04,D01,4100,,SV-202501-BR04-0382,Installation service,9520,Revenue,actual_transactions_2025_01.xlsx,Match,Match,Valid,Valid,Standard,Normal,Valid,Valid,Valid,2025-01,Valid,,No Vendor / Not Applicable,Unique,Unique / Not Applicable,Pass,D01,4100,Installation service,No action required,Include - Valid
actual_transactions_2025_01.xlsx,TXN-202501-00454,2/1/2025,BR04,D03,7100,V025,INV-V025-202501-0454,Employee training programme,390,Expense,actual_transactions_2025_01.xlsx,Match,Match,Valid,Valid,Standard,Normal,Valid,Valid,Valid,2025-01,Valid,Active,Valid,Unique,Unique / Not Applicable,Pass,D03,7100,Employee training programme,No action required,Include - Valid
actual_transactions_2025_01.xlsx,TXN-202501-00068,3/1/2025,BR01,D02,6500,V015,INV-V015-202501-0068,Delivery and courier,1890,Expense,actual_transactions_2025_01.xlsx,Match,Match,Valid,Valid,Standard,Normal,Valid,Valid,Valid,2025-01,Valid,Active,Valid,Unique,Unique / Not Applicable,Pass,D02,6500,Delivery and courier,No action required,Include - Valid
actual_transactions_2025_01.xlsx,TXN-202501-00070,3/1/2025,BR01,D02,6500,V015,INV-V015-202501-0070,Freight and transport,1310,Expense,actual_transactions_2025_01.xlsx,Match,Match,Valid,Valid,Standard,Normal,Valid,Valid,Valid,2025-01,Valid,Active,Valid,Unique,Unique / Not Applicable,Pass,D02,6500,Freight and transport,No action required,Include - Valid
actual_transactions_2025_01.xlsx,TXN-202501-00075,3/1/2025,BR01,D02,6700,V019,INV-V019-202501-0075,Cloud and security services,910,Expense,actual_transactions_2025_01.xlsx,Match,Match,Valid,Valid,Standard,Normal,Valid,Valid,Valid,2025-01,Valid,Active,Valid,Unique,Unique / Not Applicable,Pass,D02,6700,Cloud and security services,No action required,Include - Valid
actual_transactions_2025_01.xlsx,TXN-202501-00087,3/1/2025,BR01,D03,6300,V010,INV-V010-202501-0087,Water and utility charges,2000,Expense,actual_transactions_2025_01.xlsx,Match,Match,Valid,Valid,Standard,Normal,Valid,Valid,Valid,2025-01,Valid,Active,Valid,Unique,Unique / Not Applicable,Pass,D03,6300,Water and utility charges,No action required,Include - Valid
actual_transactions_2025_01.xlsx,TXN-202501-00095,3/1/2025,BR01,D03,6900,V022,INV-V022-202501-0095,Accounting support,1230,Expense,actual_transactions_2025_01.xlsx,Match,Match,Valid,Valid,Standard,Normal,Valid,Valid,Valid,2025-01,Valid,Active,Valid,Unique,Unique / Not Applicable,Pass,D03,6900,Accounting support,No action required,Include - Valid
actual_transactions_2025_01.xlsx,TXN-202501-00113,3/1/2025,BR01,D04,7000,V024,INV-V024-202501-0113,Business insurance premium,800,Expense,actual_transactions_2025_01.xlsx,Match,Match,Valid,Valid,Standard,Normal,Valid,Valid,Valid,2025-01,Valid,Active,Valid,Unique,Unique / Not Applicable,Pass,D04,7000,Business insurance premium,No action required,Include - Valid
actual_transactions_2025_01.xlsx,TXN-202501-00124,3/1/2025,BR02,D01,4000,,SI-202501-BR02-0124,Equipment sales,12550,Revenue,actual_transactions_2025_01.xlsx,Match,Match,Valid,Valid,Standard,Normal,Valid,Valid,Valid,2025-01,Valid,,No Vendor / Not Applicable,Unique,Unique / Not Applicable,Pass,D01,4000,Equipment sales,No action required,Include - Valid
actual_transactions_2025_01.xlsx,TXN-202501-00129,3/1/2025,BR02,D01,4000,,SI-202501-BR02-0129,Business hardware sale,11260,Revenue,actual_transactions_2025_01.xlsx,Match,Match,Valid,Valid,Standard,Normal,Valid,Valid,Valid,2025-01,Valid,,No Vendor / Not Applicable,Unique,Unique / Not Applicable,Pass,D01,4000,Business hardware sale,No action required,Include - Valid
actual_transactions_2025_01.xlsx,TXN-202501-00169,3/1/2025,BR02,D01,6500,V014,INV-V014-202501-0169,Delivery and courier,360,Expense,actual_transactions_2025_01.xlsx,Match,Match,Valid,Valid,Standard,Normal,Valid,Valid,Valid,2025-01,Valid,Active,Valid,Unique,Unique / Not Applicable,Pass,D01,6500,Delivery and courier,No action required,Include - Valid
actual_transactions_2025_01.xlsx,TXN-202501-00190,3/1/2025,BR02,D02,6500,V014,INV-V014-202501-0190,Delivery and courier,720,Expense,actual_transactions_2025_01.xlsx,Match,Match,Valid,Valid,Standard,Normal,Valid,Valid,Valid,2025-01,Valid,Active,Valid,Unique,Unique / Not Applicable,Pass,D02,6500,Delivery and courier,No action required,Include - Valid
actual_transactions_2025_01.xlsx,TXN-202501-00220,3/1/2025,BR02,D03,7100,V025,INV-V025-202501-0220,Professional development course,160,Expense,actual_transactions_2025_01.xlsx,Match,Match,Valid,Valid,Standard,Normal,Valid,Valid,Valid,2025-01,Valid,Active,Valid,Unique,Unique / Not Applicable,Pass,D03,7100,Professional development course,No action required,Include - Valid
actual_transactions_2025_01.xlsx,TXN-202501-00221,3/1/2025,BR02,D03,7100,V025,INV-V025-202501-0221,Employee training programme,140,Expense,actual_transactions_2025_01.xlsx,Match,Match,Valid,Valid,Standard,Normal,Valid,Valid,Valid,2025-01,Valid,Active,Valid,Unique,Unique / Not Applicable,Pass,D03,7100,Employee training programme,No action required,Include - Valid
actual_transactions_2025_01.xlsx,TXN-202501-00224,3/1/2025,BR02,D03,7200,V026,INV-V026-202501-0224,Business travel expense,130,Expense,actual_transactions_2025_01.xlsx,Match,Match,Valid,Valid,Standard,Normal,Valid,Valid,Valid,2025-01,Valid,Active,Valid,Unique,Unique / Not Applicable,Pass,D03,7200,Business travel expense,No action required,Include - Valid
actual_transactions_2025_01.xlsx,TXN-202501-00259,3/1/2025,BR03,D01,4000,,SI-202501-BR03-0259,Business hardware sale,9120,Revenue,actual_transactions_2025_01.xlsx,Match,Match,Valid,Valid,Standard,Normal,Valid,Valid,Valid,2025-01,Valid,,No Vendor / Not Applicable,Unique,Unique / Not Applicable,Pass,D01,4000,Business hardware sale,No action required,Include - Valid
actual_transactions_2025_01.xlsx,TXN-202501-00280,3/1/2025,BR03,D01,5000,V003,INV-V003-202501-0280,Equipment procurement,16310,Purchase,actual_transactions_2025_01.xlsx,Match,Match,Valid,Valid,Standard,Normal,Valid,Valid,Valid,2025-01,Valid,Active,Valid,Unique,Unique / Not Applicable,Pass,D01,5000,Equipment procurement,No action required,Include - Valid
actual_transactions_2025_01.xlsx,TXN-202501-00298,3/1/2025,BR03,D01,7200,V026,INV-V026-202501-0298,Accommodation and travel,750,Expense,actual_transactions_2025_01.xlsx,Match,Match,Valid,Valid,Standard,Normal,Valid,Valid,Valid,2025-01,Valid,Active,Valid,Unique,Unique / Not Applicable,Pass,D01,7200,Accommodation and travel,No action required,Include - Valid
actual_transactions_2025_01.xlsx,TXN-202501-00309,3/1/2025,BR03,D02,6500,V015,INV-V015-202501-0309,Freight and transport,1360,Expense,actual_transactions_2025_01.xlsx,Match,Match,Valid,Valid,Standard,Normal,Valid,Valid,Valid,2025-01,Valid,Active,Valid,Unique,Unique / Not Applicable,Pass,D02,6500,Freight and transport,No action required,Include - Valid
actual_transactions_2025_01.xlsx,TXN-202501-00359,3/1/2025,BR03,D04,7200,V026,INV-V026-202501-0359,Business travel expense,100,Expense,actual_transactions_2025_01.xlsx,Match,Match,Valid,Valid,Standard,Normal,Valid,Valid,Valid,2025-01,Valid,Active,Valid,Unique,Unique / Not Applicable,Pass,D04,7200,Business travel expense,No action required,Include - Valid
actual_transactions_2025_01.xlsx,TXN-202501-00442,3/1/2025,BR04,D03,6300,V011,INV-V011-202501-0442,Electricity and utilities,830,Expense,actual_transactions_2025_01.xlsx,Match,Match,Valid,Valid,Standard,Normal,Valid,Valid,Valid,2025-01,Valid,Active,Valid,Unique,Unique / Not Applicable,Pass,D03,6300,Electricity and utilities,No action required,Include - Valid
actual_transactions_2025_01.xlsx,TXN-202501-00448,3/1/2025,BR04,D03,6700,V018,INV-V018-202501-0448,Software subscription,490,Expense,actual_transactions_2025_01.xlsx,Match,Match,Valid,Valid,Standard,Normal,Valid,Valid,Valid,2025-01,Valid,Active,Valid,Unique,Unique / Not Applicable,Pass,D03,6700,Software subscription,No action required,Include - Valid
actual_transactions_2025_01.xlsx,TXN-202501-00474,3/1/2025,BR04,D04,7100,V025,INV-V025-202501-0474,Employee training programme,560,Expense,actual_transactions_2025_01.xlsx,Match,Match,Valid,Valid,Standard,Normal,Valid,Valid,Valid,2025-01,Valid,Active,Valid,Unique,Unique / Not Applicable,Pass,D04,7100,Employee training programme,No action required,Include - Valid
actual_transactions_2025_01.xlsx,TXN-202501-00026,4/1/2025,BR01,D01,4100,,SV-202501-BR01-0026,Installation service,9870,Revenue,actual_transactions_2025_01.xlsx,Match,Match,Valid,Valid,Standard,Normal,Valid,Valid,Valid,2025-01,Valid,,No Vendor / Not Applicable,Unique,Unique / Not Applicable,Pass,D01,4100,Installation service,No action required,Include - Valid
actual_transactions_2025_01.xlsx,TXN-202501-00032,4/1/2025,BR01,D01,4200,,OI-202501-BR01-0032,Administrative service fee,1690,Revenue,actual_transactions_2025_01.xlsx,Match,Match,Valid,Valid,Standard,Normal,Valid,Valid,Valid,2025-01,Valid,,No Vendor / Not Applicable,Unique,Unique / Not Applicable,Pass,D01,4200,Administrative service fee,No action required,Include - Valid
actual_transactions_2025_01.xlsx,TXN-202501-00067,4/1/2025,BR01,D02,6500,V015,INV-V015-202501-0067,Freight and transport,1500,Expense,actual_transactions_2025_01.xlsx,Match,Match,Valid,Valid,Standard,Normal,Valid,Valid,Valid,2025-01,Valid,Active,Valid,Unique,Unique / Not Applicable,Pass,D02,6500,Freight and transport,No action required,Include - Valid
actual_transactions_2025_01.xlsx,TXN-202501-00132,4/1/2025,BR02,D01,4000,,SI-202501-BR02-0132,Equipment sales,13370,Revenue,actual_transactions_2025_01.xlsx,Match,Match,Valid,Valid,Standard,Normal,Valid,Valid,Valid,2025-01,Valid,,No Vendor / Not Applicable,Unique,Unique / Not Applicable,Pass,D01,4000,Equipment sales,No action required,Include - Valid
actual_transactions_2025_01.xlsx,TXN-202501-00199,4/1/2025,BR02,D02,6800,V021,INV-V021-202501-0199,Printing and stationery,100,Expense,actual_transactions_2025_01.xlsx,Match,Match,Valid,Valid,Standard,Normal,Valid,Valid,Valid,2025-01,Valid,Active,Valid,Unique,Unique / Not Applicable,Pass,D02,6800,Printing and stationery,No action required,Include - Valid
actual_transactions_2025_01.xlsx,TXN-202501-00267,4/1/2025,BR03,D01,4100,,SV-202501-BR03-0267,Maintenance service invoice,7170,Revenue,actual_transactions_2025_01.xlsx,Match,Match,Valid,Valid,Standard,Normal,Valid,Valid,Valid,2025-01,Valid,,No Vendor / Not Applicable,Unique,Unique / Not Applicable,Pass,D01,4100,Maintenance service invoice,No action required,Include - Valid
actual_transactions_2025_01.xlsx,TXN-202501-00308,4/1/2025,BR03,D02,6500,V015,INV-V015-202501-0308,Delivery and courier,760,Expense,actual_transactions_2025_01.xlsx,Match,Match,Valid,Valid,Standard,Normal,Valid,Valid,Valid,2025-01,Valid,Active,Valid,Unique,Unique / Not Applicable,Pass,D02,6500,Delivery and courier,No action required,Include - Valid
actual_transactions_2025_01.xlsx,TXN-202501-00390,4/1/2025,BR04,D01,4200,,OI-202501-BR04-0390,Administrative service fee,2060,Revenue,actual_transactions_2025_01.xlsx,Match,Match,Valid,Valid,Standard,Normal,Valid,Valid,Valid,2025-01,Valid,,No Vendor / Not Applicable,Unique,Unique / Not Applicable,Pass,D01,4200,Administrative service fee,No action required,Include - Valid
actual_transactions_2025_01.xlsx,TXN-202501-00395,4/1/2025,BR04,D01,5000,V003,INV-V003-202501-0395,Product inventory purchase,22060,Purchase,actual_transactions_2025_01.xlsx,Match,Match,Valid,Valid,Standard,Normal,Valid,Valid,Valid,2025-01,Valid,Active,Valid,Unique,Unique / Not Applicable,Pass,D01,5000,Product inventory purchase,No action required,Include - Valid
actual_transactions_2025_01.xlsx,TXN-202501-00456,4/1/2025,BR04,D03,7200,V026,INV-V026-202501-0456,Accommodation and travel,140,Expense,actual_transactions_2025_01.xlsx,Match,Match,Valid,Valid,Standard,Normal,Valid,Valid,Valid,2025-01,Valid,Active,Valid,Unique,Unique / Not Applicable,Pass,D03,7200,Accommodation and travel,No action required,Include - Valid
actual_transactions_2025_01.xlsx,TXN-202501-00009,5/1/2025,BR01,D01,4000,,SI-202501-BR01-0009,Business hardware sale,16720,Revenue,actual_transactions_2025_01.xlsx,Match,Match,Valid,Valid,Standard,Normal,Valid,Valid,Valid,2025-01,Valid,,No Vendor / Not Applicable,Unique,Unique / Not Applicable,Pass,D01,4000,Business hardware sale,No action required,Include - Valid
actual_transactions_2025_01.xlsx,TXN-202501-00074,5/1/2025,BR01,D02,6600,V017,INV-V017-202501-0074,Routine maintenance,1900,Expense,actual_transactions_2025_01.xlsx,Match,Match,Valid,Valid,Standard,Normal,Valid,Valid,Valid,2025-01,Valid,Active,Valid,Unique,Unique / Not Applicable,Pass,D02,6600,Routine maintenance,No action required,Include - Valid
actual_transactions_2025_01.xlsx,TXN-202501-00143,5/1/2025,BR02,D01,4100,,SV-202501-BR02-0143,Maintenance service invoice,4720,Revenue,actual_transactions_2025_01.xlsx,Match,Match,Valid,Valid,Standard,Normal,Valid,Valid,Valid,2025-01,Valid,,No Vendor / Not Applicable,Unique,Unique / Not Applicable,Pass,D01,4100,Maintenance service invoice,No action required,Include - Valid
actual_transactions_2025_01.xlsx,TXN-202501-00158,5/1/2025,BR02,D01,5000,V004,INV-V004-202501-0158,Replacement unit purchase,15830,Purchase,actual_transactions_2025_01.xlsx,Match,Match,Valid,Valid,Standard,Normal,Valid,Valid,Valid,2025-01,Valid,Active,Valid,Unique,Unique / Not Applicable,Pass,D01,5000,Replacement unit purchase,No action required,Include - Valid
actual_transactions_2025_01.xlsx,TXN-202501-00166,5/1/2025,BR02,D01,6500,V015,INV-V015-202501-0166,Delivery and courier,550,Expense,actual_transactions_2025_01.xlsx,Match,Match,Valid,Valid,Standard,Normal,Valid,Valid,Valid,2025-01,Valid,Active,Valid,Unique,Unique / Not Applicable,Pass,D01,6500,Delivery and courier,No action required,Include - Valid
