BudgetID,BranchID,DepartmentID,AccountCode,BudgetAmount,BudgetVersion,BudgetNotes,MonthKey,BudgetIDValidationFlag,BudgetAmountValidationFlag,BudgetVersionValidationFlag,MonthKeyValidationFlag,BranchValidationFlag,DepartmentValidationFlag,AccountValidationFlag,BudgetValidationStatus
BUD-202501-BR01-D01-4000,BR01,D01,4000,352000,Original Budget,Revenue profile; branch scale 1.00,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR01-D02-6000,BR01,D02,6000,28000,Original Budget,Fixed profile; branch scale 1.00,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR01-D02-6100,BR01,D02,6100,5000,Original Budget,Fixed profile; branch scale 1.00,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR01-D02-6500,BR01,D02,6500,6600,Original Budget,Variable profile; branch scale 1.00,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR01-D02-6600,BR01,D02,6600,5600,Original Budget,Variable profile; branch scale 1.00,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR01-D02-6700,BR01,D02,6700,2000,Original Budget,Fixed profile; branch scale 1.00,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR01-D02-6800,BR01,D02,6800,700,Original Budget,Variable profile; branch scale 1.00,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR01-D02-7100,BR01,D02,7100,900,Original Budget,Variable profile; branch scale 1.00,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR01-D02-7200,BR01,D02,7200,1900,Original Budget,Variable profile; branch scale 1.00,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR01-D03-6000,BR01,D03,6000,14000,Original Budget,Fixed profile; branch scale 1.00,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR01-D03-6100,BR01,D03,6100,2500,Original Budget,Fixed profile; branch scale 1.00,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR01-D03-6200,BR01,D03,6200,15000,Original Budget,Fixed profile; branch scale 1.00,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR01-D03-6300,BR01,D03,6300,4500,Original Budget,Fixed profile; branch scale 1.00,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR01-D03-6600,BR01,D03,6600,2400,Original Budget,Variable profile; branch scale 1.00,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR01-D03-6700,BR01,D03,6700,1500,Original Budget,Fixed profile; branch scale 1.00,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR01-D03-6800,BR01,D03,6800,1700,Original Budget,Variable profile; branch scale 1.00,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR01-D03-6900,BR01,D03,6900,3000,Original Budget,Fixed profile; branch scale 1.00,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR01-D03-7000,BR01,D03,7000,2200,Original Budget,Fixed profile; branch scale 1.00,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR01-D03-7100,BR01,D03,7100,500,Original Budget,Variable profile; branch scale 1.00,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR01-D03-7200,BR01,D03,7200,700,Original Budget,Variable profile; branch scale 1.00,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR01-D03-7300,BR01,D03,7300,600,Original Budget,Fixed profile; branch scale 1.00,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR01-D03-7400,BR01,D03,7400,7000,Original Budget,Fixed profile; branch scale 1.00,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR01-D03-7500,BR01,D03,7500,900,Original Budget,Variable profile; branch scale 1.00,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR01-D04-6000,BR01,D04,6000,16000,Original Budget,Fixed profile; branch scale 1.00,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR01-D04-6100,BR01,D04,6100,2900,Original Budget,Fixed profile; branch scale 1.00,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR01-D04-6700,BR01,D04,6700,1800,Original Budget,Fixed profile; branch scale 1.00,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR01-D04-6800,BR01,D04,6800,600,Original Budget,Variable profile; branch scale 1.00,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR01-D04-6900,BR01,D04,6900,2000,Original Budget,Fixed profile; branch scale 1.00,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR01-D04-7000,BR01,D04,7000,800,Original Budget,Fixed profile; branch scale 1.00,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR01-D04-7100,BR01,D04,7100,1100,Original Budget,Variable profile; branch scale 1.00,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR01-D04-7200,BR01,D04,7200,800,Original Budget,Variable profile; branch scale 1.00,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR01-D04-7300,BR01,D04,7300,400,Original Budget,Fixed profile; branch scale 1.00,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR01-D04-7500,BR01,D04,7500,700,Original Budget,Variable profile; branch scale 1.00,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR02-D01-4000,BR02,D01,4000,204200,Original Budget,Revenue profile; branch scale 0.58,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR02-D01-4100,BR02,D01,4100,61200,Original Budget,Revenue profile; branch scale 0.58,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR02-D01-4200,BR02,D01,4200,4100,Original Budget,Revenue profile; branch scale 0.58,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR02-D01-5000,BR02,D01,5000,122500,Original Budget,Revenue profile; branch scale 0.58,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR02-D01-6000,BR02,D01,6000,11600,Original Budget,Fixed profile; branch scale 0.58,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR02-D01-6100,BR02,D01,6100,2100,Original Budget,Fixed profile; branch scale 0.58,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR02-D01-6400,BR02,D01,6400,4400,Original Budget,Variable profile; branch scale 0.58,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR02-D01-6500,BR02,D01,6500,2700,Original Budget,Variable profile; branch scale 0.58,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR02-D01-6700,BR02,D01,6700,900,Original Budget,Fixed profile; branch scale 0.58,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR02-D01-6800,BR02,D01,6800,400,Original Budget,Variable profile; branch scale 0.58,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR02-D01-7100,BR02,D01,7100,400,Original Budget,Variable profile; branch scale 0.58,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR02-D01-7200,BR02,D01,7200,1400,Original Budget,Variable profile; branch scale 0.58,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR02-D02-5100,BR02,D02,5100,24500,Original Budget,Revenue profile; branch scale 0.58,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR02-D02-6000,BR02,D02,6000,16200,Original Budget,Fixed profile; branch scale 0.58,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR02-D02-6100,BR02,D02,6100,2900,Original Budget,Fixed profile; branch scale 0.58,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR02-D02-6500,BR02,D02,6500,3800,Original Budget,Variable profile; branch scale 0.58,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR02-D02-6600,BR02,D02,6600,3300,Original Budget,Variable profile; branch scale 0.58,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR02-D02-6700,BR02,D02,6700,1200,Original Budget,Fixed profile; branch scale 0.58,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR02-D02-6800,BR02,D02,6800,400,Original Budget,Variable profile; branch scale 0.58,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR02-D02-7100,BR02,D02,7100,500,Original Budget,Variable profile; branch scale 0.58,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR02-D02-7200,BR02,D02,7200,1100,Original Budget,Variable profile; branch scale 0.58,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR02-D03-6000,BR02,D03,6000,8100,Original Budget,Fixed profile; branch scale 0.58,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR02-D03-6100,BR02,D03,6100,1400,Original Budget,Fixed profile; branch scale 0.58,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR02-D03-6200,BR02,D03,6200,8700,Original Budget,Fixed profile; branch scale 0.58,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR02-D03-6300,BR02,D03,6300,2600,Original Budget,Fixed profile; branch scale 0.58,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR02-D03-6600,BR02,D03,6600,1400,Original Budget,Variable profile; branch scale 0.58,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR02-D03-6700,BR02,D03,6700,900,Original Budget,Fixed profile; branch scale 0.58,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR02-D03-6800,BR02,D03,6800,1000,Original Budget,Variable profile; branch scale 0.58,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR02-D03-6900,BR02,D03,6900,1700,Original Budget,Fixed profile; branch scale 0.58,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR02-D03-7000,BR02,D03,7000,1300,Original Budget,Fixed profile; branch scale 0.58,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR02-D03-7100,BR02,D03,7100,300,Original Budget,Variable profile; branch scale 0.58,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR02-D03-7200,BR02,D03,7200,400,Original Budget,Variable profile; branch scale 0.58,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR02-D03-7300,BR02,D03,7300,300,Original Budget,Fixed profile; branch scale 0.58,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR02-D03-7400,BR02,D03,7400,4100,Original Budget,Fixed profile; branch scale 0.58,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR02-D03-7500,BR02,D03,7500,500,Original Budget,Variable profile; branch scale 0.58,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR02-D04-6000,BR02,D04,6000,9300,Original Budget,Fixed profile; branch scale 0.58,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR02-D04-6100,BR02,D04,6100,1700,Original Budget,Fixed profile; branch scale 0.58,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR02-D04-6700,BR02,D04,6700,1000,Original Budget,Fixed profile; branch scale 0.58,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR02-D04-6800,BR02,D04,6800,300,Original Budget,Variable profile; branch scale 0.58,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR02-D04-6900,BR02,D04,6900,1200,Original Budget,Fixed profile; branch scale 0.58,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR02-D04-7000,BR02,D04,7000,500,Original Budget,Fixed profile; branch scale 0.58,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR02-D04-7100,BR02,D04,7100,700,Original Budget,Variable profile; branch scale 0.58,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR02-D04-7200,BR02,D04,7200,400,Original Budget,Variable profile; branch scale 0.58,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR02-D04-7300,BR02,D04,7300,200,Original Budget,Fixed profile; branch scale 0.58,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR02-D04-7500,BR02,D04,7500,400,Original Budget,Variable profile; branch scale 0.58,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR03-D01-4000,BR03,D01,4000,253400,Original Budget,Revenue profile; branch scale 0.72,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR03-D01-4100,BR03,D01,4100,76000,Original Budget,Revenue profile; branch scale 0.72,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR03-D01-4200,BR03,D01,4200,5100,Original Budget,Revenue profile; branch scale 0.72,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR03-D01-5000,BR03,D01,5000,152100,Original Budget,Revenue profile; branch scale 0.72,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR03-D01-6000,BR03,D01,6000,14400,Original Budget,Fixed profile; branch scale 0.72,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR03-D01-6100,BR03,D01,6100,2600,Original Budget,Fixed profile; branch scale 0.72,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR03-D01-6400,BR03,D01,6400,5400,Original Budget,Variable profile; branch scale 0.72,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR03-D01-6500,BR03,D01,6500,3400,Original Budget,Variable profile; branch scale 0.72,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR03-D01-6700,BR03,D01,6700,1100,Original Budget,Fixed profile; branch scale 0.72,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR03-D01-6800,BR03,D01,6800,500,Original Budget,Variable profile; branch scale 0.72,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR03-D01-7100,BR03,D01,7100,500,Original Budget,Variable profile; branch scale 0.72,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR03-D01-7200,BR03,D01,7200,1700,Original Budget,Variable profile; branch scale 0.72,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR03-D02-5100,BR03,D02,5100,30400,Original Budget,Revenue profile; branch scale 0.72,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR03-D02-6000,BR03,D02,6000,20200,Original Budget,Fixed profile; branch scale 0.72,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR03-D02-6100,BR03,D02,6100,3600,Original Budget,Fixed profile; branch scale 0.72,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR03-D02-6500,BR03,D02,6500,4700,Original Budget,Variable profile; branch scale 0.72,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR03-D02-6600,BR03,D02,6600,4100,Original Budget,Variable profile; branch scale 0.72,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR03-D02-6700,BR03,D02,6700,1400,Original Budget,Fixed profile; branch scale 0.72,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR03-D02-6800,BR03,D02,6800,500,Original Budget,Variable profile; branch scale 0.72,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR03-D02-7100,BR03,D02,7100,700,Original Budget,Variable profile; branch scale 0.72,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR03-D02-7200,BR03,D02,7200,1400,Original Budget,Variable profile; branch scale 0.72,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR03-D03-6000,BR03,D03,6000,10100,Original Budget,Fixed profile; branch scale 0.72,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR03-D03-6100,BR03,D03,6100,1800,Original Budget,Fixed profile; branch scale 0.72,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR03-D03-6200,BR03,D03,6200,10800,Original Budget,Fixed profile; branch scale 0.72,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR03-D03-6300,BR03,D03,6300,3200,Original Budget,Fixed profile; branch scale 0.72,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR03-D03-6600,BR03,D03,6600,1700,Original Budget,Variable profile; branch scale 0.72,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR03-D03-6700,BR03,D03,6700,1100,Original Budget,Fixed profile; branch scale 0.72,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR03-D03-6800,BR03,D03,6800,1200,Original Budget,Variable profile; branch scale 0.72,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR03-D03-6900,BR03,D03,6900,2200,Original Budget,Fixed profile; branch scale 0.72,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR03-D03-7000,BR03,D03,7000,1600,Original Budget,Fixed profile; branch scale 0.72,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR03-D03-7100,BR03,D03,7100,300,Original Budget,Variable profile; branch scale 0.72,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR03-D03-7200,BR03,D03,7200,500,Original Budget,Variable profile; branch scale 0.72,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR03-D03-7300,BR03,D03,7300,400,Original Budget,Fixed profile; branch scale 0.72,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR03-D03-7400,BR03,D03,7400,5000,Original Budget,Fixed profile; branch scale 0.72,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR03-D03-7500,BR03,D03,7500,700,Original Budget,Variable profile; branch scale 0.72,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR03-D04-6000,BR03,D04,6000,11500,Original Budget,Fixed profile; branch scale 0.72,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR03-D04-6100,BR03,D04,6100,2100,Original Budget,Fixed profile; branch scale 0.72,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR03-D04-6700,BR03,D04,6700,1300,Original Budget,Fixed profile; branch scale 0.72,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR03-D04-6800,BR03,D04,6800,400,Original Budget,Variable profile; branch scale 0.72,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR03-D04-6900,BR03,D04,6900,1400,Original Budget,Fixed profile; branch scale 0.72,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR03-D04-7000,BR03,D04,7000,600,Original Budget,Fixed profile; branch scale 0.72,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR03-D04-7100,BR03,D04,7100,800,Original Budget,Variable profile; branch scale 0.72,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR03-D04-7200,BR03,D04,7200,500,Original Budget,Variable profile; branch scale 0.72,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR03-D04-7300,BR03,D04,7300,300,Original Budget,Fixed profile; branch scale 0.72,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR03-D04-7500,BR03,D04,7500,500,Original Budget,Variable profile; branch scale 0.72,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR04-D01-4000,BR04,D01,4000,274600,Original Budget,Revenue profile; branch scale 0.78,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR04-D01-4100,BR04,D01,4100,82400,Original Budget,Revenue profile; branch scale 0.78,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR04-D01-4200,BR04,D01,4200,5500,Original Budget,Revenue profile; branch scale 0.78,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR04-D01-5000,BR04,D01,5000,164700,Original Budget,Revenue profile; branch scale 0.78,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR04-D01-6000,BR04,D01,6000,15600,Original Budget,Fixed profile; branch scale 0.78,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR04-D01-6100,BR04,D01,6100,2800,Original Budget,Fixed profile; branch scale 0.78,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR04-D01-6400,BR04,D01,6400,5900,Original Budget,Variable profile; branch scale 0.78,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR04-D01-6500,BR04,D01,6500,3700,Original Budget,Variable profile; branch scale 0.78,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR04-D01-6700,BR04,D01,6700,1200,Original Budget,Fixed profile; branch scale 0.78,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR04-D01-6800,BR04,D01,6800,600,Original Budget,Variable profile; branch scale 0.78,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR04-D01-7100,BR04,D01,7100,600,Original Budget,Variable profile; branch scale 0.78,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR04-D01-7200,BR04,D01,7200,1800,Original Budget,Variable profile; branch scale 0.78,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR04-D02-5100,BR04,D02,5100,32900,Original Budget,Revenue profile; branch scale 0.78,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR04-D02-6000,BR04,D02,6000,21800,Original Budget,Fixed profile; branch scale 0.78,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR04-D02-6100,BR04,D02,6100,3900,Original Budget,Fixed profile; branch scale 0.78,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR04-D02-6500,BR04,D02,6500,5100,Original Budget,Variable profile; branch scale 0.78,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR04-D02-6600,BR04,D02,6600,4400,Original Budget,Variable profile; branch scale 0.78,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR04-D02-6700,BR04,D02,6700,1600,Original Budget,Fixed profile; branch scale 0.78,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR04-D02-6800,BR04,D02,6800,500,Original Budget,Variable profile; branch scale 0.78,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
